School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Elementary School,485,Jones Elementary,387,37208,,,47,57,58,64,71,,,,,,,,,,,292,3,,2,150,147,141,33,,36.181153731,-86.8013978855,"(36.181153731, -86.8013978855)"
17-18,High School,110,Antioch High School,20,37013,,,,,,,,,,,,491,525,561,480,1,74,730,755,7,490,1134,923,771,234,540,36.0466746426,-86.5994183274,"(36.0466746426, -86.5994183274)"
17-18,Middle School,238,Croft Middle,148,37211,,,,,,,,185,171,164,152,,,,,,18,116,298,,240,355,317,262,74,257,36.0874749426,-86.7341476906,"(36.0874749426, -86.7341476906)"
17-18,Middle School,296,East Nashville Middle,296,37206,,,,,,,,106,109,90,109,,,,,1,1,374,7,,31,192,222,203,53,7,36.1888616451,-86.7332427155,"(36.1888616451, -86.7332427155)"
17-18,High School,562,Middle College High,437,37209,,,,,,,,,,,,,23,35,35,,,39,4,,50,36,57,24,6,5,36.1346991446,-86.8571169258,"(36.1346991446, -86.8571169258)"
17-18,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,129,119,102,96,,,,,1,12,203,136,,94,219,227,229,74,175,36.1460623437,-86.721646171,"(36.1460623437, -86.721646171)"
17-18,Middle School,355,Goodlettsville Middle,275,37072,,,,,,,,147,154,138,129,,,,,2,16,258,141,2,149,285,283,268,79,92,36.3181505215,-86.7124640873,"(36.3181505215, -86.7124640873)"
17-18,Elementary School,330,Glendale Elementary,250,37204,12,16,83,83,80,80,77,,,,,,,,,1,13,23,32,,362,235,196,19,48,6,36.0959359228,-86.7839065582,"(36.0959359228, -86.7839065582)"
17-18,Elementary School,230,Hattie Cotton Elementary,140,37206,,20,47,46,44,67,57,,,,,,,,,1,5,176,46,,53,141,140,182,53,45,36.1910704106,-86.7477215122,"(36.1910704106, -86.7477215122)"
17-18,Elementary School,460,Andrew Jackson Elementary,15,37138,2,31,88,97,110,94,102,,,,,,,,,2,16,158,62,2,284,261,263,119,65,23,36.2315846536,-86.6237746868,"(36.2315846536, -86.6237746868)"
